2026-08-24 22:50:24,168 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:50:24,168 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:50:24,169 | INFO | app.main | POST /auth/login -> 401 (0.06s)
2026-08-24 22:50:24,671 | WARNING | app.services.auth_service | Authentication failed: invalid password user_id=1
2026-08-24 22:50:24,672 | WARNING | app.services.rate_limit_service | Login brute-force protection triggered: ip=127.0.0.1 attempts=5 blocked_until=2026-08-24 21:05:24.672159
2026-08-24 22:50:24,672 | WARNING | app.api.auth | Login failed: login=Nikita123_543
2026-08-24 22:50:24,672 | INFO | app.main | POST /auth/login -> 401 (0.062s)
2026-08-24 22:50:25,304 | WARNING | app.services.rate_limit_service | Blocked login attempt: ip=127.0.0.1 blocked_until=2026-08-24 21:05:24.672159
2026-08-24 22:50:25,305 | WARNING | app.api.auth | Login rate limit exceeded: ip=127.0.0.1 login=Nikita123_543
2026-08-24 22:50:25,305 | INFO | app.main | POST /auth/login -> 429 (0.001s)
2026-08-24 22:51:02,532 | INFO | app.main | Application shutdown
2026-08-24 22:51:03,476 | INFO | app.main | FastAPI application initialized
2026-08-24 22:51:03,496 | INFO | app.main | API routers initialized
2026-08-24 22:51:03,497 | INFO | app.main | Static files mounted
2026-08-24 22:51:03,497 | INFO | app.main | Application startup
2026-08-24 22:51:03,500 | INFO | app.main | Database tables initialized
2026-08-24 22:51:05,342 | INFO | app.main | Application shutdown
2026-08-24 22:51:06,207 | INFO | app.main | FastAPI application initialized
2026-08-24 22:51:06,226 | INFO | app.main | API routers initialized
2026-08-24 22:51:06,226 | INFO | app.main | Static files mounted
2026-08-24 22:51:06,227 | INFO | app.main | Application startup
2026-08-24 22:51:06,229 | INFO | app.main | Database tables initialized
2026-08-24 22:51:32,361 | INFO | app.main | Application shutdown
2026-08-24 22:51:33,233 | INFO | app.main | FastAPI application initialized
2026-08-24 22:51:33,252 | INFO | app.main | API routers initialized
2026-08-24 22:51:33,253 | INFO | app.main | Static files mounted
2026-08-24 22:51:33,254 | INFO | app.main | Application startup
2026-08-24 22:51:33,255 | INFO | app.main | Database tables initialized
2026-08-24 22:51:54,562 | INFO | app.main | Application shutdown
2026-08-24 22:51:55,430 | INFO | app.main | FastAPI application initialized
2026-08-24 22:51:55,449 | INFO | app.main | API routers initialized
2026-08-24 22:51:55,450 | INFO | app.main | Static files mounted
2026-08-24 22:51:55,450 | INFO | app.main | Application startup
2026-08-24 22:51:55,452 | INFO | app.main | Database tables initialized
2026-08-24 22:52:19,879 | INFO | app.main | GET /login.html -> 200 (0.031s)
2026-08-24 22:52:19,898 | INFO | app.main | GET /css/login.css -> 200 (0.001s)
2026-08-24 22:52:19,907 | INFO | app.main | GET /js/logger.js -> 200 (0.001s)
2026-08-24 22:52:19,926 | INFO | app.main | GET /js/config.js -> 200 (0.001s)
2026-08-24 22:52:19,927 | INFO | app.main | GET /js/login.js -> 200 (0.002s)
2026-08-24 22:52:19,967 | INFO | app.main | GET /static/favicon.ico -> 200 (0.001s)
2026-08-24 22:52:21,075 | INFO | app.services.auth_service | User authenticated successfully: user_id=1
2026-08-24 22:52:21,079 | INFO | app.api.auth | User logged in: user_id=1 username=Nikita
